,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,vao,-22.6667,167.4833,77.99,80,13,13.18,NC,1616888961
122,serenje,-13.2325,30.2352,59.77,96,99,1.88,ZM,1616888961
123,kuching,1.55,110.3333,77.0,100,20,1.14,MY,1616888748
124,mackay,-21.15,149.2,82.99,74,0,5.75,AU,1616888963
125,kaifeng,34.7911,114.3483,48.2,100,2,10.63,CN,1616888963
126,puerto escondido,15.85,-97.0667,86.0,79,1,4.61,MX,1616888964
127,atar,20.5169,-13.0499,78.22,22,1,5.86,MR,1616888964
128,norman wells,65.282,-126.8329,12.2,73,75,14.97,CA,1616888965
129,asau,46.4333,26.4,39.99,50,32,5.66,RO,1616888966
130,tiksi,71.6872,128.8694,7.83,94,100,3.2,RU,1616888966
131,babynino,54.39,35.73,26.6,93,100,2.64,RU,1616888967
132,ponta delgada,37.7333,-25.6667,51.8,82,20,1.7,PT,1616888967
133,saskylakh,71.9167,114.0833,-9.65,99,99,0.4,RU,1616888886
134,sinnamary,5.3833,-52.95,76.66,88,90,12.26,GF,1616888969
135,manglaur,29.8,77.8667,66.97,25,0,2.53,IN,1616888969
136,gretna,29.9147,-90.054,80.6,74,40,12.66,US,1616888970
137,komsomolskiy,40.4272,71.7189,53.6,87,75,2.3,UZ,1616888971
138,luderitz,-26.6481,15.1594,63.43,72,0,11.99,NA,1616888971
139,kushmurun,52.4503,64.6311,29.21,94,99,8.52,KZ,1616888972
140,hamilton,39.1834,-84.5333,73.4,43,40,11.5,US,1616888955
141,saint-georges,12.0564,-61.7485,78.8,78,40,13.8,GD,1616888973
142,byron bay,-28.65,153.6167,77.0,57,0,10.36,AU,1616888974
143,hobyo,5.3505,48.5268,79.83,78,16,14.38,SO,1616888974
144,olafsvik,64.8945,-23.7142,27.86,87,100,37.67,IS,1616888975
145,ayan,56.45,138.1667,16.88,83,99,1.86,RU,1616888897
146,emerald,-23.5333,148.1667,82.0,65,8,6.91,AU,1616888976
147,la seyne-sur-mer,43.0982,5.8847,54.0,81,1,1.99,FR,1616888976
148,ulaanbaatar,47.9077,106.8832,10.4,79,0,4.47,MN,1616888977
149,ponta do sol,32.6667,-17.1,64.4,94,75,16.11,PT,1616888978
150,umm lajj,25.0213,37.2685,69.87,50,12,18.81,SA,1616888979
151,bambous virieux,-20.3428,57.7575,77.0,94,75,5.75,MU,1616888979
152,viedma,-40.8135,-62.9967,58.86,51,4,14.2,AR,1616888980
153,gazojak,41.1875,61.4036,52.66,47,90,9.37,TM,1616888981
154,muisne,0.6,-80.0333,76.71,83,43,3.36,EC,1616888981
155,tuatapere,-46.1333,167.6833,60.01,88,100,5.01,NZ,1616888982
156,castro,-24.7911,-50.0119,66.54,88,92,3.42,BR,1616888982
157,kifri,34.6959,44.9661,47.57,33,0,5.84,IQ,1616888983
158,pasighat,28.0667,95.3333,67.35,31,0,2.75,IN,1616888965
159,sabzevar,36.2126,57.6819,55.22,55,10,6.91,IR,1616888984
160,bubaque,11.2833,-15.8333,76.19,71,94,11.72,GW,1616888985
161,kysyl-syr,63.8986,122.7617,11.46,96,93,4.74,RU,1616888985
162,bandarbeyla,9.4942,50.8122,77.83,80,22,9.64,SO,1616888986
163,banjar,-8.19,114.9675,80.6,94,20,3.44,ID,1616888987
164,kungurtug,50.5994,97.5228,9.64,82,32,2.48,RU,1616888988
165,cherskiy,68.75,161.3,0.57,80,32,5.61,RU,1616888732
166,coahuayana,18.7333,-103.6833,80.6,44,40,11.5,MX,1616888989
167,wukari,7.85,9.7833,82.4,21,25,4.9,NG,1616888990
168,evinayong,1.4368,10.5512,68.36,98,72,1.9,GQ,1616888990
169,kodiak,57.79,-152.4072,35.6,38,1,28.77,US,1616888991
170,den helder,52.9599,4.7593,46.0,81,90,12.66,NL,1616888991
171,vestmannaeyjar,63.4427,-20.2734,37.76,60,94,25.19,IS,1616888992
172,haines junction,60.7522,-137.5108,26.6,59,100,14.97,CA,1616888993
173,agirish,61.9247,63.0231,18.27,96,94,5.97,RU,1616888994
174,saint-augustin,51.226,-58.6502,10.22,82,49,9.37,CA,1616888994
175,toamasina,-18.1667,49.3833,73.4,94,40,2.3,MG,1616888995
176,noboribetsu,42.4514,141.1731,48.2,66,75,11.5,JP,1616888995
177,comodoro rivadavia,-45.8667,-67.5,73.4,38,0,10.36,AR,1616888897
178,arona,28.0996,-16.681,66.2,72,20,3.44,ES,1616888958
179,los llanos de aridane,28.6585,-17.9182,64.4,63,0,6.91,ES,1616888998
180,sitka,57.0531,-135.33,37.4,75,75,5.75,US,1616888999
181,minab,27.1467,57.0801,71.6,64,82,4.61,IR,1616888725
182,cabedelo,-6.9811,-34.8339,80.6,89,75,4.61,BR,1616889001
183,kirakira,-10.4544,161.9205,85.17,74,41,11.03,SB,1616889002
184,east london,-33.0153,27.9116,65.16,72,81,12.12,ZA,1616888729
185,severo-kurilsk,50.6789,156.125,27.5,83,98,35.63,RU,1616889005
186,cayenne,4.9333,-52.3333,80.01,94,75,3.44,GF,1616889006
187,egvekinot,66.3167,-179.1667,-8.32,95,73,2.93,RU,1616889007
